	Gene	Origin
1	Gpr17	CAS
2	Pcdhb9	CAS
3	C1qa	CAS
4	C4b	CAS
5	Ctss	CAS
6	Ctsz	CAS
7	H2-Q6	CAS
8	Pcdhb14	CAS
9	Pcdhb6	CAS
10	Pcdhb8	CAS
11	Abca8a	CAS
12	Cirbp	CAS
13	Ftl1	CAS
14	H2-K1	CAS
15	H2-Q7	CAS
16	Hvcn1	CAS
17	Psmb8	CAS
18	Tipin	CAS
19	Tyrobp	CAS
20	Aif1	CAS
21	B2m	CAS
22	C1qb	CAS
23	C1qc	CAS
24	C3ar1	CAS
25	Cd52	CAS
26	Cd68	CAS
27	Cd84	CAS
28	Chordc1	CAS
29	Csf3r	CAS
30	Fcer1g	CAS
31	Fcgr2b	CAS
32	Gfap	CAS
33	H2-D1	CAS
34	H2-DMb1	CAS
35	H2-M3	CAS
36	Hsph1	CAS
37	Itgb2	CAS
38	Lag3	CAS
39	Laptm5	CAS
40	Lyz2	CAS
41	Mboat1	CAS
42	Neat1	CAS
43	P4ha1	CAS
44	Pcdhb2	CAS
45	Pld4	CAS
46	Ptpn6	CAS
47	Rbm3	CAS
48	Rsrp1	CAS
49	Slc11a1	CAS
50	Slc6a6	CAS
51	Zc3hav1	CAS
52	Ahsa1	CAS
53	Apod	CAS
54	Bcl2a1b	CAS
55	Ccl6	CAS
56	Cd22	CAS
57	Cd300c2	CAS
58	Cd37	CAS
59	Cd48	CAS
60	Cst7	CAS
61	Cx3cr1	CAS
62	Cyba	CAS
63	Dnajb1	CAS
64	Gfm2	CAS
65	Gpnmb	CAS
66	Hexb	CAS
67	Hist3h2a	CAS
68	Irf8	CAS
69	Itgax	CAS
70	Itgb5	CAS
71	Lgals3bp	CAS
72	Lilrb4a	CAS
73	Lpcat2	CAS
74	Lsp1	CAS
75	Ly86	CAS
76	Mpeg1	CAS
77	Myo1f	CAS
78	Plek	CAS
79	Prss50	CAS
80	Slamf9	CAS
81	Trem2	CAS
82	Unc93b1	CAS
83	CISH	target_gene
84	SOCS1	target_gene